Date,Time,ModelName,ModelCode,Defects,Result,PoseNumber
01-05-2025 00:00:00,01-05-2025 15:29:54,HONDA350,"20002436-001885-1825-Rev-001",["Unable to locate ROI","#C127"],False,2
01-05-2025 00:00:00,01-05-2025 15:29:55,HONDA350,"20002436-001885-1825-Rev-001",["Unable to locate ROI","#C126"],False,3
01-05-2025 00:00:00,01-05-2025 15:29:55,HONDA350,"20002436-001885-1825-Rev-001",["#C115","#C110","#C47","#C105"],False,4
01-05-2025 00:00:00,01-05-2025 15:29:56,HONDA350,"20002436-001885-1825-Rev-001",["#R66","#C16","#L14"],False,5
01-05-2025 00:00:00,01-05-2025 15:29:56,HONDA350,"20002436-001885-1825-Rev-001",["#C10"],True,6
01-05-2025 00:00:00,01-05-2025 15:29:57,HONDA350,"20002436-001885-1825-Rev-001",["#C46","#C17"],True,7
01-05-2025 00:00:00,01-05-2025 15:29:57,HONDA350,"20002436-001885-1825-Rev-001",["#C102","#C122"],True,8
01-05-2025 00:00:00,01-05-2025 15:29:58,HONDA350,"20002436-001885-1825-Rev-001",["#F100","#C110"],False,9
01-05-2025 00:00:00,01-05-2025 15:29:58,HONDA350,"20002436-001885-1825-Rev-001",["#C117"],True,10
01-05-2025 00:00:00,01-05-2025 15:29:59,HONDA350,"20002436-001886-1825-Rev-001",["Unable to locate ROI","#C127"],False,12
01-05-2025 00:00:00,01-05-2025 15:29:59,HONDA350,"20002436-001886-1825-Rev-001",["Unable to locate ROI","#C126"],False,13
01-05-2025 00:00:00,01-05-2025 15:30:00,HONDA350,"20002436-001886-1825-Rev-001",[],True,14
01-05-2025 00:00:00,01-05-2025 15:30:00,HONDA350,"20002436-001886-1825-Rev-001",["#C16","#R66","#L14"],False,15
01-05-2025 00:00:00,01-05-2025 15:30:01,HONDA350,"20002436-001886-1825-Rev-001",["#C10"],True,16
01-05-2025 00:00:00,01-05-2025 15:30:01,HONDA350,"20002436-001886-1825-Rev-001",["Unable to locate ROI","#C46","#C17"],True,17
01-05-2025 00:00:00,01-05-2025 15:30:01,HONDA350,"20002436-001886-1825-Rev-001",["#C122","#C102"],True,18
01-05-2025 00:00:00,01-05-2025 15:30:02,HONDA350,"20002436-001886-1825-Rev-001",["Unable to locate ROI","#F100"],True,19
01-05-2025 00:00:00,01-05-2025 15:30:02,HONDA350,"20002436-001886-1825-Rev-001",["#C117"],True,20
01-05-2025 00:00:00,01-05-2025 15:31:29,HONDA350,"20002436-000469-1825-Rev-001",["Unable to locate ROI","#C127"],False,2
01-05-2025 00:00:00,01-05-2025 15:31:30,HONDA350,"20002436-000469-1825-Rev-001",["Unable to locate ROI","#C126"],False,3
01-05-2025 00:00:00,01-05-2025 15:31:30,HONDA350,"20002436-000469-1825-Rev-001",["#C115","#C110","#C47","#C105"],False,4
01-05-2025 00:00:00,01-05-2025 15:31:31,HONDA350,"20002436-000469-1825-Rev-001",["#R66","#C16","#L14"],False,5
01-05-2025 00:00:00,01-05-2025 15:31:31,HONDA350,"20002436-000469-1825-Rev-001",["#C10"],True,6
01-05-2025 00:00:00,01-05-2025 15:31:32,HONDA350,"20002436-000469-1825-Rev-001",["Unable to locate ROI","#C46","#C17"],True,7
01-05-2025 00:00:00,01-05-2025 15:31:32,HONDA350,"20002436-000469-1825-Rev-001",["#C102","#C122"],True,8
01-05-2025 00:00:00,01-05-2025 15:31:33,HONDA350,"20002436-000469-1825-Rev-001",["#F100","#C110"],True,9
01-05-2025 00:00:00,01-05-2025 15:31:33,HONDA350,"20002436-000469-1825-Rev-001",["#C117"],False,10
01-05-2025 00:00:00,01-05-2025 15:31:34,HONDA350,"20002436-000470-1825-Rev-001",["Unable to locate ROI","#C127"],False,12
01-05-2025 00:00:00,01-05-2025 15:31:34,HONDA350,"20002436-000470-1825-Rev-001",["Unable to locate ROI","#C126"],False,13
01-05-2025 00:00:00,01-05-2025 15:31:35,HONDA350,"20002436-000470-1825-Rev-001",[],True,14
01-05-2025 00:00:00,01-05-2025 15:31:35,HONDA350,"20002436-000470-1825-Rev-001",["#C16","#R66","#L14"],False,15
01-05-2025 00:00:00,01-05-2025 15:31:36,HONDA350,"20002436-000470-1825-Rev-001",["#C10"],True,16
01-05-2025 00:00:00,01-05-2025 15:31:36,HONDA350,"20002436-000470-1825-Rev-001",["Unable to locate ROI","#C46","#C17"],True,17
01-05-2025 00:00:00,01-05-2025 15:31:37,HONDA350,"20002436-000470-1825-Rev-001",["#C122","#C102"],True,18
01-05-2025 00:00:00,01-05-2025 15:31:37,HONDA350,"20002436-000470-1825-Rev-001",["Unable to locate ROI","#F100"],True,19
01-05-2025 00:00:00,01-05-2025 15:31:37,HONDA350,"20002436-000470-1825-Rev-001",["#C117"],False,20
05-05-2025 00:00:00,05-05-2025 18:17:05,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],False,2
05-05-2025 00:00:00,05-05-2025 18:17:05,HONDA350,"20002953-000707-1225-Rev-001",["#C126"],False,3
05-05-2025 00:00:00,05-05-2025 18:17:06,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C110","#C47","#C105"],False,4
05-05-2025 00:00:00,05-05-2025 18:17:06,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14"],False,5
05-05-2025 00:00:00,05-05-2025 18:17:06,HONDA350,"20002953-000707-1225-Rev-001",["#C10"],True,6
05-05-2025 00:00:00,05-05-2025 18:17:07,HONDA350,"20002953-000707-1225-Rev-001",["#C46","#C17"],True,7
05-05-2025 00:00:00,05-05-2025 18:17:07,HONDA350,"20002953-000707-1225-Rev-001",["#C102","#C122"],True,8
05-05-2025 00:00:00,05-05-2025 18:17:08,HONDA350,"20002953-000707-1225-Rev-001",["#F100","#C110"],True,9
05-05-2025 00:00:00,05-05-2025 18:17:08,HONDA350,"20002953-000707-1225-Rev-001",["#C117"],False,10
05-05-2025 00:00:00,05-05-2025 18:17:09,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],False,12
05-05-2025 00:00:00,05-05-2025 18:17:09,HONDA350,"20002953-000708-1225-Rev-001",["#C126"],True,13
05-05-2025 00:00:00,05-05-2025 18:17:10,HONDA350,"20002953-000708-1225-Rev-001",[],True,14
05-05-2025 00:00:00,05-05-2025 18:17:11,HONDA350,"20002953-000708-1225-Rev-001",["#C16","#R66","#L14"],False,15
05-05-2025 00:00:00,05-05-2025 18:17:11,HONDA350,"20002953-000708-1225-Rev-001",["#C10"],True,16
05-05-2025 00:00:00,05-05-2025 18:17:11,HONDA350,"20002953-000708-1225-Rev-001",["#C46","#C17"],True,17
05-05-2025 00:00:00,05-05-2025 18:17:12,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
05-05-2025 00:00:00,05-05-2025 18:17:12,HONDA350,"20002953-000708-1225-Rev-001",["#F100"],True,19
05-05-2025 00:00:00,05-05-2025 18:17:13,HONDA350,"20002953-000708-1225-Rev-001",["#C117"],False,20
06-05-2025 00:00:00,06-05-2025 09:23:31,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],False,2
06-05-2025 00:00:00,06-05-2025 09:23:31,HONDA350,"20002953-000707-1225-Rev-001",["#C126"],False,3
06-05-2025 00:00:00,06-05-2025 09:23:32,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C110","#C47","#C105"],False,4
06-05-2025 00:00:00,06-05-2025 09:23:32,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14"],False,5
06-05-2025 00:00:00,06-05-2025 09:23:33,HONDA350,"20002953-000707-1225-Rev-001",["#C10"],True,6
06-05-2025 00:00:00,06-05-2025 09:23:33,HONDA350,"20002953-000707-1225-Rev-001",["Unable to locate ROI","#C46","#C17"],True,7
06-05-2025 00:00:00,06-05-2025 09:23:34,HONDA350,"20002953-000707-1225-Rev-001",["#C102","#C122"],True,8
06-05-2025 00:00:00,06-05-2025 09:23:34,HONDA350,"20002953-000707-1225-Rev-001",["#F100","#C110"],True,9
06-05-2025 00:00:00,06-05-2025 09:23:34,HONDA350,"20002953-000707-1225-Rev-001",["#C117"],False,10
06-05-2025 00:00:00,06-05-2025 09:23:35,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],False,12
06-05-2025 00:00:00,06-05-2025 09:23:36,HONDA350,"20002953-000708-1225-Rev-001",["#C126"],True,13
06-05-2025 00:00:00,06-05-2025 09:23:36,HONDA350,"20002953-000708-1225-Rev-001",[],True,14
06-05-2025 00:00:00,06-05-2025 09:23:37,HONDA350,"20002953-000708-1225-Rev-001",["#C16","#R66","#L14"],False,15
06-05-2025 00:00:00,06-05-2025 09:23:37,HONDA350,"20002953-000708-1225-Rev-001",["#C10"],True,16
06-05-2025 00:00:00,06-05-2025 09:23:37,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C46","#C17"],True,17
06-05-2025 00:00:00,06-05-2025 09:23:38,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
06-05-2025 00:00:00,06-05-2025 09:23:38,HONDA350,"20002953-000708-1225-Rev-001",["#F100"],True,19
06-05-2025 00:00:00,06-05-2025 09:23:39,HONDA350,"20002953-000708-1225-Rev-001",["#C117"],False,20
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],False,2
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C126"],False,3
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C110","#C47","#C105"],False,4
06-05-2025 00:00:00,06-05-2025 09:43:19,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14"],False,5
06-05-2025 00:00:00,06-05-2025 09:43:19,HONDA350,"20002953-000707-1225-Rev-001",["#C10"],True,6
06-05-2025 00:00:00,06-05-2025 09:43:20,HONDA350,"20002953-000707-1225-Rev-001",["Unable to locate ROI","#C46","#C17"],True,7
